erlang index: 1, erlang: 1, general blocking: 0, BBP: 0, Total current utilization: 0.000444041, Blocked by XT: 0, La ruta mas larga es de: 9700, Max XT for modulation 16QAM: -99, Max XT for modulation 8QAM: -99, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 1001, erlang: 1001, general blocking: 0, BBP: 0, Total current utilization: 0.027108, Blocked by XT: 0, La ruta mas larga es de: 9700, Max XT for modulation 16QAM: -99, Max XT for modulation 8QAM: -31.0791, Max XT for modulation BPSK: -27.122, Max XT for modulation QPSK: -28.4164
erlang index: 2001, erlang: 2001, general blocking: 0, BBP: 0, Total current utilization: 0.0468117, Blocked by XT: 0, La ruta mas larga es de: 9700, Max XT for modulation 16QAM: -34.9485, Max XT for modulation 8QAM: -28.6631, Max XT for modulation BPSK: -24.5804, Max XT for modulation QPSK: -25.5879
erlang index: 3001, erlang: 3001, general blocking: 0, BBP: 0, Total current utilization: 0.0677533, Blocked by XT: 0, La ruta mas larga es de: 9700, Max XT for modulation 16QAM: -34.9485, Max XT for modulation 8QAM: -28.0671, Max XT for modulation BPSK: -24.5804, Max XT for modulation QPSK: -25.5254
erlang index: 4001, erlang: 4001, general blocking: 0, BBP: 0, Total current utilization: 0.0852738, Blocked by XT: 0, La ruta mas larga es de: 9700, Max XT for modulation 16QAM: -31.9375, Max XT for modulation 8QAM: -28.0671, Max XT for modulation BPSK: -24.5804, Max XT for modulation QPSK: -25.5254
erlang index: 5001, erlang: 5001, general blocking: 0, BBP: 0, Total current utilization: 0.105221, Blocked by XT: 0, La ruta mas larga es de: 9700, Max XT for modulation 16QAM: -31.9375, Max XT for modulation 8QAM: -28.0671, Max XT for modulation BPSK: -24.1075, Max XT for modulation QPSK: -25.403
erlang index: 6001, erlang: 6001, general blocking: 0, BBP: 0, Total current utilization: 0.123237, Blocked by XT: 0, La ruta mas larga es de: 9700, Max XT for modulation 16QAM: -31.9375, Max XT for modulation 8QAM: -23.886, Max XT for modulation BPSK: -19.7941, Max XT for modulation QPSK: -20.8047
erlang index: 7001, erlang: 7001, general blocking: 0, BBP: 0, Total current utilization: 0.141686, Blocked by XT: 0, La ruta mas larga es de: 9700, Max XT for modulation 16QAM: -31.9375, Max XT for modulation 8QAM: -23.886, Max XT for modulation BPSK: -19.7941m, Max XT for modulation QPSK: -20.8047
erlang index: 8001, erlang: 8001, general blocking: 0, BBP: 0, Total current utilization: 0.163999, Blocked by XT: 0, La ruta mas larga es de: 9700, Max XT for modulation 16QAM: -31.0779, Max XT for modulation 8QAM: -23.886, Max XT for modulation BPSK: -19.7941, Max XT for modulation QPSK: -20.8047
erlang index: 9001, erlang: 9001, general blocking: 0.00113999, BBP: 0, Total current utilization: 0.183788, Blocked by XT: 0, La ruta mas larga es de: 9700, Max XT for modulation 16QAM: -30.1759, Max XT for modulation 8QAM: -23.886, Max XT for modulation BPSK: -19.7941, Max XT for modulation QPSK: -20.742
erlang index: 10001, erlang: 10001, general blocking: 0.00618994, BBP: 0, Total current utilization: 0.19348, Blocked by XT: 0, La ruta mas larga es de: 9700, Max XT for modulation 16QAM: -30.1759, Max XT for modulation 8QAM: -23.886, Max XT for modulation BPSK: -19.7941, Max XT for modulation QPSK: -20.742
erlang index: 11001, erlang: 11001, general blocking: 0.0158098, BBP: 0, Total current utilization: 0.199728, Blocked by XT: 0, La ruta mas larga es de: 9700, Max XT for modulation 16QAM: -30.1759, Max XT for modulation 8QAM: -23.886, Max XT for modulation BPSK: -19.7941, Max XT for modulation QPSK: -20.6192
erlang index: 12001, erlang: 12001, general blocking: 0.0226298, BBP: 0, Total current utilization: 0.212393, Blocked by XT: 0, La ruta mas larga es de: 9700, Max XT for modulation 16QAM: -30.1759, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.7941, Max XT for modulation QPSK: -20.6192
erlang index: 13001, erlang: 13001, general blocking: 0.0278797, BBP: 0, Total current utilization: 0.220077, Blocked by XT: 0, La ruta mas larga es de: 9800, Max XT for modulation 16QAM: -30.1759, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.7941, Max XT for modulation QPSK: -20.6192
erlang index: 14001, erlang: 14001, general blocking: 0.0329697, BBP: 0, Total current utilization: 0.228068, Blocked by XT: 0, La ruta mas larga es de: 9800. , Max XT for modulation 16QAM: -27.956, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.7941, Max XT for modulation QPSK: -20.6192
erlang index: 15001, erlang: 15001, general blocking: 0.0388496, BBP: 0, Total current utilization: 0.235208, Blocked by XT: 0, La ruta mas larga es de: 9800, Max XT for modulation 16QAM: -27.956, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.7941, Max XT for modulation QPSK: -20.6192
erlang index: 16001, erlang: 16001, general blocking: 0.0419696, BBP: 0, Total current utilization: 0.246035, Blocked by XT: 0, La ruta mas larga es de: 9800, Max XT for modulation 16QAM: -27.956, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.7941, Max XT for modulation QPSK: -20.6192
erlang index: 17001, erlang: 17001, general blocking: 0.0457395, BBP: 0, Total current utilization: 0.257713, Blocked by XT: 0, La ruta mas larga es de: 9800, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.7941, Max XT for modulation QPSK: -20.6192
erlang index: 18001, erlang: 18001, general blocking: 0.0501995, BBP: 0, Total current utilization: 0.262314, Blocked by XT: 0, La ruta mas larga es de: 9800, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.7941, Max XT for modulation QPSK: -20.6192
erlang index: 19001, erlang: 19001, general blocking: 0.0527595, BBP: 0, Total current utilization: 0.274026, Blocked by XT: 0, La ruta mas larga es de: 9800, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.7941, Max XT for modulation QPSK: -20.6192
erlang index: 20001, erlang: 20001, general blocking: 0.0551294, BBP: 0, Total current utilization: 0.284356, Blocked by XT: 0, La ruta mas larga es de: 9800, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.7941, Max XT for modulation QPSK: -20.6192
erlang index: 21001, erlang: 21001, general blocking: 0.0591694, BBP: 0, Total current utilization: 0.294687, Blocked by XT: 0, La ruta mas larga es de: 9800, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.7941, Max XT for modulation QPSK: -20.6192
erlang index: 22001, erlang: 22001, general blocking: 0.0632094, BBP: 0, Total current utilization: 0.299562, Blocked by XT: 0, La ruta mas larga es de: 9800, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.7941, Max XT for modulation QPSK: -20.6192
erlang index: 23001, erlang: 23001, general blocking: 0.0653893, BBP: 0, Total current utilization: 0.305321, Blocked by XT: 0, La ruta mas larga es de: 9800, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.598, Max XT for modulation QPSK: -20.6192
erlang index: 24001, erlang: 24001, general blocking: 0.0695893, BBP: 0, Total current utilization: 0.312131, Blocked by XT: 0, La ruta mas larga es de: 9800, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.598, Max XT for modulation QPSK: -20.6192
erlang index: 25001, erlang: 25001, general blocking: 0.0732693, BBP: 0, Total current utilization: 0.318318, Blocked by XT: 0, La ruta mas larga es de: 9800, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.598, Max XT for modulation QPSK: -20.6192
erlang index: 26001, erlang: 26001, general blocking: 0.0765192, BBP: 0, Total current utilization: 0.323519, Blocked by XT: 0, La ruta mas larga es de: 9800, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.598, Max XT for modulation QPSK: -20.6192
erlang index: 27001, erlang: 27001, general blocking: 0.0793292, BBP: 0, Total current utilization: 0.328299, Blocked by XT: 0, La ruta mas larga es de: 9800, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.598, Max XT for modulation QPSK: -20.6192
erlang index: 28001, erlang: 28001, general blocking: 0.0813792, BBP: 0, Total current utilization: 0.333787, Blocked by XT: 0, La ruta mas larga es de: 9800, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.598, Max XT for modulation QPSK: -20.6192
erlang index: 29001, erlang: 29001, general blocking: 0.0854591, BBP: 0, Total current utilization: 0.339896, Blocked by XT: 0, La ruta mas larga es de: 10000, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.598, Max XT for modulation QPSK: -20.6192
