erlang index: 0, erlang: 1000, general blocking: 0, BBP: 0, Total current utilization: 0.0103939, Blocked by XT: 0, Ruta mas larga: 1201, Max XT for modulation 16QAM: -99, Max XT for modulation 8QAM: -99, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 1, erlang: 2000, general blocking: 0, BBP: 0, Total current utilization: 0.0191082, Blocked by XT: 0, Ruta mas larga: 1201, Max XT for modulation 16QAM: -99, Max XT for modulation 8QAM: -99, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 2, erlang: 3000, general blocking: 0, BBP: 0, Total current utilization: 0.026395, Blocked by XT: 0, Ruta mas larga: 1201, Max XT for modulation 16QAM: -99, Max XT for modulation 8QAM: -99, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 3, erlang: 4000, general blocking: 0, BBP: 0, Total current utilization: 0.0338824, Blocked by XT: 0, Ruta mas larga: 1201, Max XT for modulation 16QAM: -40.9691, Max XT for modulation 8QAM: -37.8252, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -36.2415
erlang index: 4, erlang: 5000, general blocking: 0, BBP: 0, Total current utilization: 0.0419076, Blocked by XT: 0, Ruta mas larga: 1201, Max XT for modulation 16QAM: -36.2415, Max XT for modulation 8QAM: -37.5647, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -36.2415
erlang index: 5, erlang: 6000, general blocking: 0, BBP: 0, Total current utilization: 0.0493057, Blocked by XT: 0, Ruta mas larga: 1201, Max XT for modulation 16QAM: -36.2415, Max XT for modulation 8QAM: -37.5647, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -36.2415
erlang index: 6, erlang: 7000, general blocking: 0, BBP: 0, Total current utilization: 0.0563718, Blocked by XT: 0, Ruta mas larga: 1201, Max XT for modulation 16QAM: -36.2415, Max XT for modulation 8QAM: -37.5647, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -36.2415
erlang index: 7, erlang: 8000, general blocking: 0, BBP: 0, Total current utilization: 0.0642658, Blocked by XT: 0, Ruta mas larga: 1201, Max XT for modulation 16QAM: -36.2415, Max XT for modulation 8QAM: -33.8424, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -32.3819
erlang index: 8, erlang: 9000, general blocking: 0, BBP: 0, Total current utilization: 0.0717384, Blocked by XT: 0, Ruta mas larga: 1201, Max XT for modulation 16QAM: -32.3819, Max XT for modulation 8QAM: -33.8424, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -32.3819
erlang index: 9, erlang: 10000, general blocking: 0, BBP: 0, Total current utilization: 0.0796796, Blocked by XT: 0, Ruta mas larga: 1201, Max XT for modulation 16QAM: -32.3819, Max XT for modulation 8QAM: -32.7982, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -32.3819
erlang index: 10, erlang: 11000, general blocking: 0, BBP: 0, Total current utilization: 0.0878403, Blocked by XT: 0, Ruta mas larga: 1201, Max XT for modulation 16QAM: -32.3819, Max XT for modulation 8QAM: -32.7982, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -32.3819
