erlang index: 0, erlang: 1000, general blocking: 0, BBP: 0, Total current utilization: 0.0107843, Blocked by XT: 0, Ruta mas larga: 771, Max XT for modulation 16QAM: -99, Max XT for modulation 8QAM: -99, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 1, erlang: 2000, general blocking: 0, BBP: 0, Total current utilization: 0.0201256, Blocked by XT: 0, Ruta mas larga: 771, Max XT for modulation 16QAM: -99, Max XT for modulation 8QAM: -99, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 2, erlang: 3000, general blocking: 0, BBP: 0, Total current utilization: 0.0286792, Blocked by XT: 0, Ruta mas larga: 771, Max XT for modulation 16QAM: -41.0018, Max XT for modulation 8QAM: -38.1192, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 3, erlang: 4000, general blocking: 0, BBP: 0, Total current utilization: 0.0372206, Blocked by XT: 0, Ruta mas larga: 771, Max XT for modulation 16QAM: -38.1192, Max XT for modulation 8QAM: -38.1192, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 4, erlang: 5000, general blocking: 0, BBP: 0, Total current utilization: 0.0457397, Blocked by XT: 0, Ruta mas larga: 771, Max XT for modulation 16QAM: -38.1192, Max XT for modulation 8QAM: -38.1192, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 5, erlang: 6000, general blocking: 0, BBP: 0, Total current utilization: 0.0537768, Blocked by XT: 0, Ruta mas larga: 771, Max XT for modulation 16QAM: -38.1192, Max XT for modulation 8QAM: -38.1192, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 6, erlang: 7000, general blocking: 0, BBP: 0, Total current utilization: 0.0623943, Blocked by XT: 0, Ruta mas larga: 771, Max XT for modulation 16QAM: -36.2305, Max XT for modulation 8QAM: -33.6752, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 7, erlang: 8000, general blocking: 0, BBP: 0, Total current utilization: 0.0707566, Blocked by XT: 0, Ruta mas larga: 771, Max XT for modulation 16QAM: -33.6752, Max XT for modulation 8QAM: -33.6752, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 8, erlang: 9000, general blocking: 0, BBP: 0, Total current utilization: 0.0782954, Blocked by XT: 0, Ruta mas larga: 771, Max XT for modulation 16QAM: -33.3477, Max XT for modulation 8QAM: -33.6752, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 9, erlang: 10000, general blocking: 0, BBP: 0, Total current utilization: 0.0869101, Blocked by XT: 0, Ruta mas larga: 771, Max XT for modulation 16QAM: -33.3477, Max XT for modulation 8QAM: -33.6752, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 10, erlang: 11000, general blocking: 0, BBP: 0, Total current utilization: 0.0956663, Blocked by XT: 0, Ruta mas larga: 771, Max XT for modulation 16QAM: -33.3477, Max XT for modulation 8QAM: -33.3477, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 11, erlang: 12000, general blocking: 0, BBP: 0, Total current utilization: 0.103509, Blocked by XT: 0, Ruta mas larga: 771, Max XT for modulation 16QAM: -33.3477, Max XT for modulation 8QAM: -33.3477, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 12, erlang: 13000, general blocking: 0, BBP: 0, Total current utilization: 0.111359, Blocked by XT: 0, Ruta mas larga: 771, Max XT for modulation 16QAM: -33.3477, Max XT for modulation 8QAM: -33.3477, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 13, erlang: 14000, general blocking: 0, BBP: 0, Total current utilization: 0.120304, Blocked by XT: 0, Ruta mas larga: 771, Max XT for modulation 16QAM: -33.3477, Max XT for modulation 8QAM: -33.3477, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 14, erlang: 15000, general blocking: 0, BBP: 0, Total current utilization: 0.128591, Blocked by XT: 0, Ruta mas larga: 771, Max XT for modulation 16QAM: -33.3477, Max XT for modulation 8QAM: -33.3477, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 15, erlang: 16000, general blocking: 0, BBP: 0, Total current utilization: 0.136551, Blocked by XT: 0, Ruta mas larga: 771, Max XT for modulation 16QAM: -33.3477, Max XT for modulation 8QAM: -33.3477, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 16, erlang: 17000, general blocking: 0, BBP: 0, Total current utilization: 0.144386, Blocked by XT: 0, Ruta mas larga: 771, Max XT for modulation 16QAM: -33.3477, Max XT for modulation 8QAM: -33.3477, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 17, erlang: 18000, general blocking: 0, BBP: 0, Total current utilization: 0.153351, Blocked by XT: 0, Ruta mas larga: 771, Max XT for modulation 16QAM: -33.3477, Max XT for modulation 8QAM: -33.3477, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 18, erlang: 19000, general blocking: 0, BBP: 0, Total current utilization: 0.161447, Blocked by XT: 0, Ruta mas larga: 771, Max XT for modulation 16QAM: -33.3477, Max XT for modulation 8QAM: -33.3477, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 19, erlang: 20000, general blocking: 0, BBP: 0, Total current utilization: 0.169034, Blocked by XT: 0, Ruta mas larga: 771, Max XT for modulation 16QAM: -33.3477, Max XT for modulation 8QAM: -33.3477, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 20, erlang: 21000, general blocking: 0, BBP: 0, Total current utilization: 0.177633, Blocked by XT: 0, Ruta mas larga: 771, Max XT for modulation 16QAM: -29.6054, Max XT for modulation 8QAM: -25.2234, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
